,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,direction,from_stop_no,from_lat,from_long,to_lat,to_long,to_stop_no
176,7006,golden chemicals,kajupada,3,30,up,15,19.263041,72.873794,19.279093,72.922685,26
177,7006,jain mandir versova,kajupada,1,5,up,23,19.285383,72.899832,19.279093,72.922685,26
178,7006,magathane depot,kajupada,8,120,up,0,19.221336,72.866122,19.279093,72.922685,26
179,7006,majiwada,kajupada,1,15,down,50,19.215632,72.97819,19.279093,72.922685,26
180,7006,manpada,kajupada,1,10,down,46,19.235236,72.976318,19.279093,72.922685,26
181,7006,nency colony,kajupada,1,15,up,9,19.237912,72.863431,19.279093,72.922685,26
182,7006,omkareshwar mandir,kajupada,7,105,up,7,19.231425,72.862322,19.279093,72.922685,26
183,7006,ovale village,kajupada,4,40,down,32,19.276025,72.959046,19.279093,72.922685,26
184,7006,patli pada,kajupada,3,30,down,43,19.246131,72.975986,19.279093,72.922685,26
185,7006,thane station east,kajupada,5,100,down,61,19.18517,72.97561,19.279093,72.922685,26
186,7006,versova bridge,kajupada,1,5,up,24,19.284969,72.904808,19.279093,72.922685,26
187,7006,waghbil,kajupada,2,20,down,41,19.252563,72.972696,19.279093,72.922685,26
188,7006,western hotel laxmi baug,kajupada,4,40,up,21,19.27639,72.888952,19.279093,72.922685,26
189,7006,anand nagar,kapur bawdi,49,245,up,37,19.264687,72.967836,19.221197,72.977952,49
190,7006,bhayandar pada,kapur bawdi,29,290,up,30,19.283685,72.952358,19.221197,72.977952,49
191,7006,borivali station east,kapur bawdi,82,1640,up,5,19.227846,72.857949,19.221197,72.977952,49
192,7006,cadbury junction thane,kapur bawdi,17,85,down,53,19.203952,72.968584,19.221197,72.977952,49
193,7006,gaimukh,kapur bawdi,1,10,up,28,19.2854,72.936384,19.221197,72.977952,49
194,7006,gartan pada,kapur bawdi,10,200,up,13,19.252261,72.867912,19.221197,72.977952,49
195,7006,golden chemicals,kapur bawdi,2,40,up,15,19.263041,72.873794,19.221197,72.977952,49
196,7006,jain mandir versova,kapur bawdi,1,15,up,23,19.285383,72.899832,19.221197,72.977952,49
197,7006,kajupada,kapur bawdi,2,30,up,26,19.279093,72.922685,19.221197,72.977952,49
198,7006,louis wadi,kapur bawdi,22,110,down,55,19.195812,72.962565,19.221197,72.977952,49
199,7006,magathane depot,kapur bawdi,35,700,up,0,19.221336,72.866122,19.221197,72.977952,49
200,7006,manpada,kapur bawdi,17,85,up,46,19.235236,72.976318,19.221197,72.977952,49
